Dicofre,services,lines
"110501",3.00083356487913,"CarrisMetropolitana 1625, MobiCascais 3, MobiCascais 6"
"110506",5.00138927479856,"CarrisMetropolitana 1604, CarrisMetropolitana 1608, CarrisMetropolitana 1622, CarrisMetropolitana 1611, MobiCascais 36"
"110507",11.1799342682905,"CarrisMetropolitana 1604, CarrisMetropolitana 1608, CarrisMetropolitana 1622, CarrisMetropolitana CP, MobiCascais 36"
"110508",10.1796564133308,"CarrisMetropolitana 1625, CarrisMetropolitana CP, MobiCascais 3, MobiCascais 6"
"110601",10.5283139470414,"Carris 727, Carris 742, Carris 760, Carris 203, CarrisMetropolitana 1714, CarrisMetropolitana 1741"
"110602",32.3343588574785,"Carris 727, Carris 742, Carris 720, Carris 760, Carris 724, Carris 201, Carris 203, Carris 15E, CarrisMetropolitana 1741, CarrisMetropolitana 3703, CarrisMetropolitana 3706, CarrisMetropolitana 3708, CarrisMetropolitana 3710, CarrisMetropolitana 3716, CarrisMetropolitana 3721, CarrisMetropolitana 4730, CP Linha de Cascais, Fertagus"
"110607",18.1352620068169,"Carris 742, Carris 794, Carris 720, Carris 759, Carris 203, Carris 208, Carris 210, MetroLisboa Vm"
"110608",26.1716463270563,"Carris 750, Carris 767, Carris 703, Carris 724, Carris 202, CarrisMetropolitana 1714, CarrisMetropolitana 1720, CarrisMetropolitana 1740, CarrisMetropolitana 1730, CarrisMetropolitana 1717, CarrisMetropolitana 1721, CarrisMetropolitana 1707, CarrisMetropolitana 1708, CarrisMetropolitana 1709, CP Linha de Sintra"
"110610",35.857123222531,"Carris 742, Carris 726, Carris 755, Carris 202, Carris 203, CarrisMetropolitana 1740, CarrisMetropolitana 1730, CarrisMetropolitana 1741, CarrisMetropolitana 3703, CarrisMetropolitana 3706, CarrisMetropolitana 3710, CarrisMetropolitana 3716, CarrisMetropolitana 3721, CarrisMetropolitana 4730, CP Linha de Sintra, CP Linha da Azambuja, Fertagus, MetroLisboa Az"
"110611",23.6887315400614,"Carris 750, Carris 767, Carris 726, Carris 703, Carris 724, Carris 202, CarrisMetropolitana 2821, CarrisMetropolitana 2822, CarrisMetropolitana 1708, CarrisMetropolitana 1709, MetroLisboa Az"
"110618",42.0825406304509,"Carris 750, Carris 767, Carris 206, Carris 703, Carris 717, Carris 796, Carris 736, Carris 207, CarrisMetropolitana 2703, CarrisMetropolitana 2713, CarrisMetropolitana 2736, CarrisMetropolitana 2740, CarrisMetropolitana 2750, CarrisMetropolitana 2751, CarrisMetropolitana 2764, CarrisMetropolitana 2769, CarrisMetropolitana 2772, CarrisMetropolitana 2776, CarrisMetropolitana 2796, CarrisMetropolitana 2812, MetroLisboa Am, MetroLisboa Vd"
"110621",18.9434194938211,"Carris 750, Carris 794, Carris 755, Carris 759, Carris 208, Carris 210, CP Linha de Sintra, CP Linha da Azambuja, MetroLisboa Vm"
"110633",29.1740377762129,"Carris 750, Carris 759, Carris 208, Carris 210, CarrisMetropolitana 2711, CarrisMetropolitana 2713, CarrisMetropolitana 2730, CarrisMetropolitana 2736, CarrisMetropolitana 2790, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715, MetroLisboa Vm"
"110639",26.4730352644375,"Carris 750, Carris 726, Carris 755, Carris 202, CarrisMetropolitana 3706, CarrisMetropolitana 3716, CarrisMetropolitana 3721, CarrisMetropolitana 4730, CP Linha de Sintra, CP Linha da Azambuja, Fertagus, MetroLisboa Az"
"110654",34.5059042668016,"Carris 750, Carris 755, Carris 206, Carris 717, Carris 796, Carris 736, Carris 207, Carris 208, CarrisMetropolitana 2713, CarrisMetropolitana 2736, CarrisMetropolitana 2790, CP Linha de Sintra, CP Linha da Azambuja, Fertagus, MetroLisboa Am, MetroLisboa Vd"
"110655",27.5493666730169,"Carris 742, Carris 726, Carris 206, Carris 720, Carris 717, Carris 203, Carris 208, CarrisMetropolitana 2790, CarrisMetropolitana 3703, CarrisMetropolitana 3710, CP Linha de Sintra, CP Linha da Azambuja, MetroLisboa Vm, MetroLisboa Vd"
"110656",35.2146314669227,"Carris 742, Carris 726, Carris 206, Carris 720, Carris 717, Carris 760, Carris 774, Carris 736, Carris 203, Carris 207, Carris 208, Carris 28E, MetroLisboa Vm, MetroLisboa Am, MetroLisboa Vd"
"110657",41.1489030406645,"Carris 727, Carris 742, Carris 726, Carris 736, Carris 203, Carris 207, CarrisMetropolitana 1740, CarrisMetropolitana 1730, CarrisMetropolitana 1741, CarrisMetropolitana 3703, CarrisMetropolitana 3706, CarrisMetropolitana 3710, CarrisMetropolitana 3716, CarrisMetropolitana 3721, CarrisMetropolitana 4730, CP Linha de Sintra, CP Linha da Azambuja, Fertagus, MetroLisboa Az, MetroLisboa Vm, MetroLisboa Am"
"110658",17.9673135353199,"Carris 727, Carris 750, Carris 201, Carris 203, Carris 15E, CarrisMetropolitana 1714, CarrisMetropolitana 1741, CP Linha de Cascais"
"110659",22.6146929310373,"Carris 727, Carris 742, Carris 720, Carris 774, Carris 202, Carris 203, CarrisMetropolitana 1741, CarrisMetropolitana 3706, CarrisMetropolitana 3708, CP Linha da Azambuja, Fertagus"
"110660",28.0720572721226,"Carris 727, Carris 742, Carris 720, Carris 760, Carris 774, Carris 201, Carris 203, Carris 15E, CarrisMetropolitana 3706, CarrisMetropolitana 3708, CP Linha de Cascais, CP Linha da Azambuja"
"110661",46.4228120277593,"Carris 727, Carris 206, Carris 760, Carris 774, Carris 736, Carris 201, Carris 202, Carris 207, Carris 208, Carris 210, Carris 28E, Carris 15E, CarrisMetropolitana 3708, CP Linha de Sintra, CP Linha de Cascais, MetroLisboa Vd, TTSL"
"110662",30.2845630383711,"Carris 750, Carris 794, Carris 759, Carris 208, Carris 210, CarrisMetropolitana 2711, CarrisMetropolitana 2727, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715, CP Linha de Sintra, CP Linha da Azambuja, MetroLisboa Vm"
"110663",23.5230415713647,"Carris 742, Carris 794, Carris 726, Carris 206, Carris 720, Carris 759, Carris 203, Carris 208, Carris 210, Carris 28E"
"110664",34.6901558674045,"Carris 206, Carris 703, Carris 717, Carris 796, Carris 736, Carris 207, CarrisMetropolitana 2703, CarrisMetropolitana 2711, CarrisMetropolitana 2713, CarrisMetropolitana 2736, CarrisMetropolitana 2740, CarrisMetropolitana 2750, CarrisMetropolitana 2751, CarrisMetropolitana 2764, CarrisMetropolitana 2769, CarrisMetropolitana 2772, CarrisMetropolitana 2776, CarrisMetropolitana 2796, CarrisMetropolitana 2812, MetroLisboa Am"
"110665",39.1451925601917,"Carris 794, Carris 206, Carris 759, Carris 760, Carris 774, Carris 736, Carris 202, Carris 207, Carris 208, Carris 210, Carris 28E, Carris 15E, MetroLisboa Az, MetroLisboa Vd, TTSL"
"110666",22.07427326653,"Carris 727, Carris 720, Carris 774, Carris 736, Carris 202, Carris 207, CarrisMetropolitana 1741, CP Linha de Sintra, MetroLisboa Az, MetroLisboa Am"
"110667",18.1502063132648,"Carris 794, Carris 726, Carris 206, Carris 759, Carris 210, Carris 28E, MetroLisboa Az"
"110702",2.06837670292142,"CarrisMetropolitana 2750, CarrisMetropolitana 2764"
"110705",1.05571847507331,CarrisMetropolitana 2750
"110707",8.11627760562695,"CarrisMetropolitana 2523, CarrisMetropolitana 2727, CarrisMetropolitana 2740, CarrisMetropolitana 2750, CarrisMetropolitana 2751, CarrisMetropolitana 2764, CarrisMetropolitana 2776, CarrisMetropolitana 2796"
"110708",3.05627418499274,"CarrisMetropolitana 2740, CarrisMetropolitana 2750, CarrisMetropolitana 2751"
"110726",25.060491168827,"Carris 208, Carris 210, CarrisMetropolitana 2711, CarrisMetropolitana 2713, CarrisMetropolitana 2730, CarrisMetropolitana 2736, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715, CP Linha da Azambuja, MetroLisboa Vm"
"110727",24.5262659062527,"Carris 210, CarrisMetropolitana 2711, CarrisMetropolitana 2713, CarrisMetropolitana 2727, CarrisMetropolitana 2730, CarrisMetropolitana 2736, CarrisMetropolitana 2790, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715, CP Linha da Azambuja"
"110728",6.08444475317218,"CarrisMetropolitana 2730, CarrisMetropolitana 2790, CP Linha da Azambuja"
"110729",5.06921026780055,"CarrisMetropolitana 2538, CarrisMetropolitana 2740, CarrisMetropolitana 2750, CarrisMetropolitana 2764, CarrisMetropolitana 2796"
"110730",13.5372989858237,"CarrisMetropolitana 2703, CarrisMetropolitana 2727, CarrisMetropolitana 2740, CarrisMetropolitana 2750, CarrisMetropolitana 2751, CarrisMetropolitana 2764, CarrisMetropolitana 2769, CarrisMetropolitana 2772, CarrisMetropolitana 2776, CarrisMetropolitana 2796"
"110731",13.0720562714251,"Carris 717, Carris 207, CarrisMetropolitana 2703, CarrisMetropolitana 2711, CarrisMetropolitana 2713, CarrisMetropolitana 2727, CarrisMetropolitana 2736"
"110906",2.00055570991942,"CarrisMetropolitana 2740, CarrisMetropolitana 2751"
"110909",2.00055570991942,"CarrisMetropolitana 2740, CarrisMetropolitana 2751"
"110911",1.05571847507331,CarrisMetropolitana 2750
"110920",2.00055570991942,"CarrisMetropolitana 2740, CarrisMetropolitana 2751"
"110921",2.00055570991942,"CarrisMetropolitana 2740, CarrisMetropolitana 2751"
"110922",2.00055570991942,"CarrisMetropolitana 2740, CarrisMetropolitana 2751"
"111002",8.06892779443938,"CarrisMetropolitana 1215, CarrisMetropolitana 1523, CarrisMetropolitana 1107, CarrisMetropolitana 1730, CarrisMetropolitana 1741, CarrisMetropolitana 1530, CarrisMetropolitana 1717"
"111009",5.00138927479856,"CarrisMetropolitana 1523, CarrisMetropolitana 1608, CarrisMetropolitana 1611, CarrisMetropolitana 1530"
"111012",15.0342963450413,"Carris 750, Carris 201, Carris 15E, CarrisMetropolitana 1107, CarrisMetropolitana 1502, CarrisMetropolitana 1730, CarrisMetropolitana 1741, CP Linha de Cascais"
"111013",9.26953198495724,"Carris 750, CarrisMetropolitana 1714, CarrisMetropolitana 1740, CarrisMetropolitana 1107, CarrisMetropolitana 1502, CarrisMetropolitana 1730, CarrisMetropolitana 1741, CarrisMetropolitana 1506"
"111014",16.1813235430891,"CarrisMetropolitana 1523, CarrisMetropolitana 1604, CarrisMetropolitana 1608, CarrisMetropolitana 1611, CarrisMetropolitana 1530, CarrisMetropolitana CP, CP Linha de Cascais, MobiCascais 36"
"111102",4.00111141983884,"CarrisMetropolitana 1251, CarrisMetropolitana 1625, CP Linha de Sintra"
"111108",8.00222283967769,"CarrisMetropolitana 1740, CarrisMetropolitana 1209, CarrisMetropolitana 1622, CarrisMetropolitana 1251, CarrisMetropolitana 1625, CP Linha de Sintra"
"111115",3.14186024639338,"CarrisMetropolitana 1720, CarrisMetropolitana 1709"
"111122",15.5651400531378,"CarrisMetropolitana 1211, CarrisMetropolitana 1215, CarrisMetropolitana 1219, CarrisMetropolitana 1523, CarrisMetropolitana 1740, CarrisMetropolitana 1209, CarrisMetropolitana 1622, CarrisMetropolitana 1212, CarrisMetropolitana 1721, CP Linha de Sintra"
"111124",8.00222283967769,"CarrisMetropolitana 1215, CarrisMetropolitana 1523, CarrisMetropolitana 1740, CarrisMetropolitana 1209, CarrisMetropolitana 1622, CP Linha de Sintra"
"111125",10.452869538112,"CarrisMetropolitana 1720, CarrisMetropolitana 1740, CarrisMetropolitana 1518, CarrisMetropolitana 1530, CarrisMetropolitana 1717, CarrisMetropolitana 1721, CP Linha de Sintra"
"111126",14.564862198178,"CarrisMetropolitana 1720, CarrisMetropolitana 1211, CarrisMetropolitana 1740, CarrisMetropolitana 1212, CarrisMetropolitana 1518, CarrisMetropolitana 1530, CarrisMetropolitana 1717, CarrisMetropolitana 1721, CarrisMetropolitana 1514, CP Linha de Sintra"
"111128",7.00194498471798,"CarrisMetropolitana 1209, CarrisMetropolitana 1622, CarrisMetropolitana 1251, CarrisMetropolitana 1625, CP Linha de Sintra"
"111408",2.00055570991942,"CarrisMetropolitana 2538, CarrisMetropolitana 2796"
"111409",3.00083356487913,"CarrisMetropolitana 2328, CP Linha da Azambuja"
"111412",3.00083356487913,"CarrisMetropolitana 2328, CP Linha da Azambuja"
"111413",4.00111141983884,"CarrisMetropolitana 2328, CarrisMetropolitana 2790, CP Linha da Azambuja"
"111414",2.00055570991942,CP Linha da Azambuja
"111415",6.00166712975827,"CarrisMetropolitana 2328, CarrisMetropolitana 2538, CarrisMetropolitana 2790, CP Linha da Azambuja"
"111512",8.26925412999753,"Carris 750, CarrisMetropolitana 1714, CarrisMetropolitana 1740, CarrisMetropolitana 1502, CarrisMetropolitana 1730, CarrisMetropolitana 1506, CarrisMetropolitana 1514"
"111513",9.11549159210391,"Carris 750, Carris 767, CarrisMetropolitana 1714, CarrisMetropolitana 1740, CarrisMetropolitana 1502, CarrisMetropolitana 1506, CarrisMetropolitana 1514, CP Linha de Sintra"
"111514",20.7832642926076,"Carris 726, Carris 724, Carris 202, CarrisMetropolitana 1005, CarrisMetropolitana 2611, CarrisMetropolitana 1514, CarrisMetropolitana 1707, CarrisMetropolitana 1708, CarrisMetropolitana 1709, MetroLisboa Az"
"111515",23.6089039369729,"Carris 767, Carris 202, CarrisMetropolitana 1005, CarrisMetropolitana 1720, CarrisMetropolitana 1518, CarrisMetropolitana 1717, CarrisMetropolitana 1721, CarrisMetropolitana 1514, CarrisMetropolitana 1707, CarrisMetropolitana 1708, CP Linha de Sintra, MetroLisboa Az"
"111516",14.3699621452076,"CarrisMetropolitana 1005, CarrisMetropolitana 1720, CarrisMetropolitana 1518, CarrisMetropolitana 1717, CarrisMetropolitana 1721, CarrisMetropolitana 1514, CarrisMetropolitana 1707, CarrisMetropolitana 1708, CarrisMetropolitana 1709, CP Linha de Sintra"
"111517",12.4790807074063,"CarrisMetropolitana 1714, CarrisMetropolitana 1720, CarrisMetropolitana 1740, CarrisMetropolitana 1502, CarrisMetropolitana 1506, CarrisMetropolitana 1518, CarrisMetropolitana 1717, CarrisMetropolitana 1721, CarrisMetropolitana 1514, CP Linha de Sintra"
"111603",28.3513794649687,"Carris 206, Carris 736, CarrisMetropolitana 2203, CarrisMetropolitana 2207, CarrisMetropolitana 2213, CarrisMetropolitana 2224, CarrisMetropolitana 2523, CarrisMetropolitana 2611, CarrisMetropolitana 2750, CarrisMetropolitana 2751, CarrisMetropolitana 2764, CarrisMetropolitana 2769, CarrisMetropolitana 2772, CarrisMetropolitana 2776, CarrisMetropolitana 2812, CarrisMetropolitana 2821, CarrisMetropolitana 2822, MetroLisboa Am"
"111608",23.2870529232132,"Carris 726, Carris 724, Carris 202, CarrisMetropolitana 2203, CarrisMetropolitana 2213, CarrisMetropolitana 2224, CarrisMetropolitana 2611, CarrisMetropolitana 2821, CarrisMetropolitana 2822, CarrisMetropolitana 1708, CarrisMetropolitana 1709, MetroLisboa Az"
"111609",22.3307376420388,"Carris 206, Carris 736, CarrisMetropolitana 2207, CarrisMetropolitana 2740, CarrisMetropolitana 2750, CarrisMetropolitana 2751, CarrisMetropolitana 2764, CarrisMetropolitana 2769, CarrisMetropolitana 2772, CarrisMetropolitana 2776, CarrisMetropolitana 2796, CarrisMetropolitana 2812, MetroLisboa Am"
"111610",8.14324952119194,"CarrisMetropolitana 2207, CarrisMetropolitana 2213, CarrisMetropolitana 2523, CarrisMetropolitana 2611, CarrisMetropolitana 2812, CarrisMetropolitana 1709"
"150201",10.3711541564541,"CarrisMetropolitana 4512, CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150202",9.37087630149435,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150203",10.3711541564541,"CarrisMetropolitana 4512, CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150303",8.18998299854912,"CarrisMetropolitana 3012, CarrisMetropolitana 3022, CarrisMetropolitana 3024, CarrisMetropolitana 3708, CarrisMetropolitana 3710"
"150312",41.7724126771186,"CarrisMetropolitana 3003, CarrisMetropolitana 3012, CarrisMetropolitana 3013, CarrisMetropolitana 3022, CarrisMetropolitana 3024, CarrisMetropolitana 3040, CarrisMetropolitana 3507, CarrisMetropolitana 3509, CarrisMetropolitana 3510, CarrisMetropolitana 3511, CarrisMetropolitana 3703, CarrisMetropolitana 3706, CarrisMetropolitana 3708, CarrisMetropolitana 3710, CarrisMetropolitana 3716, CarrisMetropolitana 3721, CarrisMetropolitana 4730, Fertagus, MTS 1, MTS 2, MTS 3, TTSL"
"150313",19.1919279832671,"CarrisMetropolitana 3012, CarrisMetropolitana 3022, CarrisMetropolitana 3024, CarrisMetropolitana 3507, CarrisMetropolitana 3510, CarrisMetropolitana 3708, CarrisMetropolitana 3710, CarrisMetropolitana 3716, Fertagus, MTS 3"
"150314",19.2042188147288,"CarrisMetropolitana 3004, CarrisMetropolitana 3012, CarrisMetropolitana 3022, CarrisMetropolitana 3024, CarrisMetropolitana 3040, CarrisMetropolitana 3502, CarrisMetropolitana 3507, CarrisMetropolitana 3510, CarrisMetropolitana 3521, CarrisMetropolitana 3706, CarrisMetropolitana 3716, Fertagus"
"150315",28.9163187218222,"CarrisMetropolitana 3003, CarrisMetropolitana 3004, CarrisMetropolitana 3013, CarrisMetropolitana 3024, CarrisMetropolitana 3040, CarrisMetropolitana 3502, CarrisMetropolitana 3509, CarrisMetropolitana 3510, CarrisMetropolitana 3511, CarrisMetropolitana 3703, CarrisMetropolitana 3706, CarrisMetropolitana 3708, CarrisMetropolitana 3716, CarrisMetropolitana 3721, CarrisMetropolitana 4730, Fertagus, MTS 1, MTS 2"
"150407",2.65095729013255,TCB 3
"150409",16.6327283696362,"CarrisMetropolitana 4600, CarrisMetropolitana 4602, CarrisMetropolitana 4604, CarrisMetropolitana 4620, CP Linha do Sado, TCB 71, TCB 3, TTSL"
"150410",16.6327283696362,"CarrisMetropolitana 4600, CarrisMetropolitana 4602, CarrisMetropolitana 4604, CarrisMetropolitana 4620, CP Linha do Sado, TCB 71, TCB 3, TTSL"
"150411",6.03156827263072,"CarrisMetropolitana 3620, CarrisMetropolitana 4620, CarrisMetropolitana 4730, Fertagus"
