Dicofre,services,lines
"110601",5.00027785495971,"Carris 203, CarrisMetropolitana 1741"
"110602",11.1932757215703,"Carris 201, Carris 203, CarrisMetropolitana 1741, CarrisMetropolitana 3706, CarrisMetropolitana 3708"
"110607",7.00138927479856,"Carris 203, Carris 208, Carris 210, CP R"
"110608",3.00083356487913,"Carris 202, CarrisMetropolitana 1740"
"110610",10.1446065076626,"Carris 202, Carris 203, CarrisMetropolitana 1740, CarrisMetropolitana 1741, CarrisMetropolitana 3706"
"110611",2.00055570991942,Carris 202
"110618",4.00111141983884,"Carris 206, Carris 207"
"110621",5.00138927479856,"Carris 208, Carris 210, CP R"
"110633",12.0022228396777,"Carris 208, Carris 210, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"110639",4.14405079774318,"Carris 202, CarrisMetropolitana 3706"
"110654",5.00138927479856,"Carris 206, Carris 207, Carris 208"
"110655",6.00111141983884,"Carris 206, Carris 203, Carris 208"
"110656",9.00138927479856,"Carris 206, Carris 203, Carris 207, Carris 208"
"110657",9.07285896375072,"Carris 203, Carris 207, CarrisMetropolitana 1740, CarrisMetropolitana 1741, CarrisMetropolitana 3706"
"110658",7.00083356487913,"Carris 201, Carris 203, CarrisMetropolitana 1741"
"110659",9.09705464322471,"Carris 202, Carris 203, CarrisMetropolitana 1741, CarrisMetropolitana 3706, CarrisMetropolitana 3708"
"110660",9.12125032269869,"Carris 201, Carris 203, CarrisMetropolitana 3706, CarrisMetropolitana 3708"
"110661",14.0522813283839,"Carris 206, Carris 201, Carris 202, Carris 207, Carris 208, Carris 210, CarrisMetropolitana 3708"
"110662",13.0025006946374,"Carris 208, Carris 210, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715, CP R"
"110663",10.0016671297583,"Carris 206, Carris 203, Carris 208, Carris 210, CP R"
"110664",3.00083356487913,"Carris 206, Carris 207"
"110665",10.0027785495971,"Carris 206, Carris 202, Carris 207, Carris 208, Carris 210"
"110666",5.00138927479856,"Carris 202, Carris 207, CarrisMetropolitana 1741"
"110667",5.00138927479856,"Carris 206, Carris 210, CP R"
"110726",12.0022228396777,"Carris 208, Carris 210, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715, CP R"
"110727",11.001944984718,"Carris 210, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715, CP R"
"110728",5.00027785495971,"CarrisMetropolitana 2730, CP R"
"110731",2.00055570991942,Carris 207
"111002",1.00027785495971,CarrisMetropolitana 1741
"111012",3.00083356487913,"Carris 201, CarrisMetropolitana 1741"
"111013",2.00055570991942,"CarrisMetropolitana 1740, CarrisMetropolitana 1741"
"111108",1.00027785495971,CarrisMetropolitana 1740
"111122",1.00027785495971,CarrisMetropolitana 1740
"111124",1.00027785495971,CarrisMetropolitana 1740
"111125",1.00027785495971,CarrisMetropolitana 1740
"111126",1.00027785495971,CarrisMetropolitana 1740
"111409",1.00027785495971,CP R
"111412",1.00027785495971,CP R
"111413",1.00027785495971,CP R
"111414",1.00027785495971,CP R
"111415",1.00027785495971,CP R
"111512",1.00027785495971,CarrisMetropolitana 1740
"111513",1.00027785495971,CarrisMetropolitana 1740
"111514",2.00055570991942,Carris 202
"111515",2.00055570991942,Carris 202
"111517",1.00027785495971,CarrisMetropolitana 1740
"111603",2.00055570991942,Carris 206
"111608",2.00055570991942,Carris 202
"111609",2.00055570991942,Carris 206
"150201",5.00138927479856,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150202",9.0025006946374,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150203",5.00138927479856,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150303",2.04894706886739,CarrisMetropolitana 3708
